text,label
个人觉得，效果立竿见影，真心推荐。,1
排版舒服，知识点总结到位。,1
购物体验差到想投诉。,0
设计老气，毫无新意。,0
剧情拖沓无聊，看到一半就想退出。,0
音质刺耳，杂音明显。,0
感觉，排版舒服，知识点总结到位。,1
今天心情特别好，一切都很顺利。,1
今天诸事不顺，心情很糟糕。,0
说实话，物流很快，第二天就到了。,1
整体完成度很高，细节满分。,1
很遗憾，味道正宗，回头客确定。,1
整体完成度很高，细节满分。,1
质量太差，用两次就坏了。,0
很遗憾，噪音很大，散热也一般。,0
文档写得很清楚，少走很多弯路。,1
客服半天不回，态度冷淡。,0
操作简单，上手很快。,1
完全不如宣传，避雷。,0
总之，答疑很敷衍，问题得不到回应。,0
学习路径很清晰，适合入门。,1
期望越高失望越大。,0
说实话，今天诸事不顺，心情很糟糕。,0
节奏混乱，结尾烂尾严重。,0
退换货麻烦，售后推诿。,0
朋友推荐的果然没错，太喜欢了。,1
售后甩锅，沟通体验极差。,0
结局很暖心，值得二刷。,1
细节处理很到位，看得出很用心。,1
讲解细致，例子贴近实际。,1
完全不如宣传，避雷。,0
课程讲解清晰，学到了很多。,1
很遗憾，学习曲线太陡，文档也不全。,0
用了一周，感觉非常满意。,1
用了一周，感觉非常满意。,1
物流很快，第二天就到了。,1
客服半天不回，态度冷淡。,0
环境嘈杂，卫生也不太行。,0
节奏把握得很好，全程没有尿点。,1
界面难用，操作反人类。,0
续航很差，半天就没电。,0
强烈，朋友推荐的果然没错，太喜欢了。,1
节奏混乱，结尾烂尾严重。,0
惊喜连连，超出预期太多了。,1
强烈，节奏把握得很好，全程没有尿点。,1
信息过时，没什么参考价值。,0
总之，界面难用，操作反人类。,0
感觉，物流丢件，处理效率极低。,0
价格实惠，质量也靠得住。,1
总之，这次旅行安排得很舒服，风景绝了。,1
续航给力，性能也很强。,1
售后服务很靠谱，让人安心。,1
社区氛围友好，问题都能得到帮助。,1
总之，团队协作很愉快，项目推进顺利。,1
整体表现优秀，值得入手。,1
效果立竿见影，真心推荐。,1
很遗憾，行程安排很糟糕，到处踩坑。,0
几乎没效果，感觉被骗。,0
味道很赞，分量足，还会回购。,1
材质很好，手感也不错。,1
说实话，翻译生硬，读着很别扭。,0
做工精细，没有瑕疵。,1
设计很有创意，赏心悦目。,1
物流超级慢，等了一周才到。,0
疑似假货，观感不对。,0
互动很少，听着很傻眼。,0
讲解通俗易懂，新手也能跟上。,1
这次旅行安排得很舒服，风景绝了。,1
活动很混乱，体验很差。,0
更新稳定，功能越来越好用了。,1
坦白讲，特效廉价，剧情也无聊。,0
噪音很大，散热也一般。,0
用料单薄，感觉不耐用。,0
很遗憾，退换货麻烦，售后推诿。,0
性能够用，日常完全没压力。,1
内容空洞，没什么干货。,0
续费很值，功能解决了我的痛点。,1
订阅不值，功能鸡肋。,0
坦白讲，设计老气，毫无新意。,0
性能够用，日常完全没压力。,1
总之，演员表演非常出色，看完很感动。,1
续费很值，功能解决了我的痛点。,1
环境干净，体验非常好。,1
剧情拖沓无聊，看到一半就想退出。,0
瑕疵明显，品控太差。,0
互动环节很有趣，参与感强。,1
坦白讲，做工精细，没有瑕疵。,1
客服推诿，问题一直没解决。,0
文档写得很清楚，少走很多弯路。,1
强烈，翻译准确，阅读体验很好。,1
服务态度很差，等了很久没人理。,0
总之，学习路径很清晰，适合入门。,1
坦白讲，界面设计很清爽，用起来顺手。,1
沟通成本很高，推进很困难。,0
说实话，内容空洞，没什么干货。,0
讲解通俗易懂，新手也能跟上。,1
运行安静，散热也不错。,1
活动很精彩，气氛特别棒。,1
很遗憾，几乎没效果，感觉被骗。,0
画面精美，配乐也很棒，五星好评。,1
总之，演技尴尬，台词也很生硬。,0
物流丢件，处理效率极低。,0
活动很混乱，体验很差。,0
用了三天就出问题了。,0
客服回复秒回，态度很好。,1
社区冷清，提问没人理。,0
用料扎实，耐用性很好。,1
画面精美，配乐也很棒，五星好评。,1
味道一般，又贵又难吃。,0
包装精致，用着很舒服。,1
这次购物体验满分。,1
坦白讲，结局很暖心，值得二刷。,1
购物体验差到想投诉。,0
真的，这部电影太好看了，剧情紧凑，强烈推荐。,1
感觉，正版正品，发货迅速。,1
进度太快，根本跟不上。,0
味道正宗，回头客确定。,1
订阅不值，功能鸡肋。,0
团队协作很愉快，项目推进顺利。,1
被种草后大失所望，踩雷了。,0
信息过时，没什么参考价值。,0
售后甩锅，沟通体验极差。,0
观感一流，特效震撼。,1
客服很耐心，问题解决得很快。,1
运行安静，散热也不错。,1
价格实惠，质量也靠得住。,1
这部电影太好看了，剧情紧凑，强烈推荐。,1
真的，服务态度超级好，下次还会再来。,1
正版正品，发货迅速。,1
文档缺失，踩坑无数。,0
环境干净，体验非常好。,1
东西质量不错，物流也很快。,1
操作简单，上手很快。,1
坦白讲，特效粗糙，完全不值票价。,0
感觉，价格虚高，性价比很低。,0
瑕疵明显，品控太差。,0
学习曲线太陡，文档也不全。,0
个人觉得，社区氛围友好，问题都能得到帮助。,1
说实话，音质出色，低音很沉。,1
被种草后大失所望，踩雷了。,0
个人觉得，材质很好，手感也不错。,1
用料单薄，感觉不耐用。,0
材质廉价，手感很差。,0
这本书写得很实用，例子也很丰富。,1
整体来说，更新稳定，功能越来越好用了。,1
价格虚高，性价比很低。,0
今天心情特别好，一切都很顺利。,1
这本书写得很实用，例子也很丰富。,1
总之，拍照糊成一片，夜景更惨。,0
味道一般，又贵又难吃。,0
感觉，沟通成本很高，推进很困难。,0
说实话，口味不对，不会再来。,0
比想象中更好，强烈安利。,1
很遗憾，包装破损，里面东西还少发了。,0
设计很有创意，赏心悦目。,1
口味不对，不会再来。,0
内容充实，信息量很大。,1
翻译准确，阅读体验很好。,1
干净卫生，口味一流。,1
性能不足，稍微一用就发热。,0
坦白讲，这次购物体验满分。,1
文档缺失，踩坑无数。,0
答疑很敷衍，问题得不到回应。,0
浪费时间，不推荐观看。,0
拍照效果惊喜，夜景也很清晰。,1
客服推诿，问题一直没解决。,0
性能不足，稍微一用就发热。,0
总之，课程讲解清晰，学到了很多。,1
总之，期望越高失望越大。,0
做工粗糙，边角还有毛刺。,0
拍照糊成一片，夜景更惨。,0
演员表演非常出色，看完很感动。,1
包装精致，用着很舒服。,1
不干净，口味也很奇怪。,0
售后无忧，换货也很方便。,1
比想象中更好，强烈安利。,1
进度太快，根本跟不上。,0
互动很少，听着很傻眼。,0
续航给力，性能也很强。,1
惊喜连连，超出预期太多了。,1
很遗憾，稳定不卡顿，体验很流畅。,1
老师答疑很及时，收获满满。,1
卡顿严重，频繁闪退。,0
用了三天就出问题了。,0
